Date 	Day	Time	Pred	High/Low
2021/09/02	Thu	08:47	0.79	L
2021/09/02	Thu	14:33	2.14	H
2021/09/02	Thu	20:34	0.72	L
2021/09/03	Fri	03:02	2.71	H
2021/09/03	Fri	09:36	0.68	L
2021/09/03	Fri	15:28	2.28	H
2021/09/03	Fri	21:28	0.60	L
2021/09/04	Sat	03:53	2.83	H
2021/09/04	Sat	10:20	0.54	L
2021/09/04	Sat	16:17	2.45	H
2021/09/04	Sat	22:18	0.46	L
2021/09/05	Sun	04:38	2.95	H
2021/09/05	Sun	11:00	0.39	L
2021/09/05	Sun	17:01	2.64	H
2021/09/05	Sun	23:05	0.32	L
2021/09/06	Mon	05:21	3.05	H
2021/09/06	Mon	11:40	0.23	L
2021/09/06	Mon	17:44	2.83	H
2021/09/06	Mon	23:50	0.20	L
2021/09/07	Tue	06:02	3.11	H
2021/09/07	Tue	12:19	0.10	L
2021/09/07	Tue	18:26	3.02	H
2021/09/08	Wed	00:36	0.12	L
2021/09/08	Wed	06:43	3.12	H
2021/09/08	Wed	12:59	0.01	L
2021/09/08	Wed	19:08	3.17	H
2021/09/09	Thu	01:23	0.09	L
2021/09/09	Thu	07:25	3.07	H
2021/09/09	Thu	13:40	-0.04	L
2021/09/09	Thu	19:52	3.29	H
2021/09/10	Fri	02:12	0.11	L
2021/09/10	Fri	08:08	2.97	H
2021/09/10	Fri	14:24	-0.02	L
2021/09/10	Fri	20:39	3.34	H
2021/09/11	Sat	03:04	0.18	L
2021/09/11	Sat	08:55	2.83	H
2021/09/11	Sat	15:10	0.05	L
2021/09/11	Sat	21:29	3.33	H
2021/09/12	Sun	04:00	0.30	L
2021/09/12	Sun	09:46	2.66	H
2021/09/12	Sun	16:02	0.17	L
2021/09/12	Sun	22:23	3.26	H
2021/09/13	Mon	05:01	0.42	L
2021/09/13	Mon	10:44	2.50	H
2021/09/13	Mon	17:00	0.30	L
2021/09/13	Mon	23:25	3.17	H
2021/09/14	Tue	06:09	0.51	L
2021/09/14	Tue	11:50	2.38	H
2021/09/14	Tue	18:06	0.42	L
2021/09/15	Wed	00:34	3.08	H
2021/09/15	Wed	07:21	0.54	L
2021/09/15	Wed	13:07	2.35	H
2021/09/15	Wed	19:17	0.47	L
2021/09/16	Thu	01:48	3.05	H
2021/09/16	Thu	08:29	0.50	L
2021/09/16	Thu	14:25	2.43	H
2021/09/16	Thu	20:29	0.44	L
2021/09/17	Fri	02:58	3.07	H
2021/09/17	Fri	09:31	0.41	L
2021/09/17	Fri	15:32	2.58	H
2021/09/17	Fri	21:34	0.37	L
2021/09/18	Sat	03:59	3.11	H
2021/09/18	Sat	10:24	0.31	L
2021/09/18	Sat	16:28	2.74	H
2021/09/18	Sat	22:32	0.28	L
2021/09/19	Sun	04:50	3.13	H
2021/09/19	Sun	11:10	0.23	L
2021/09/19	Sun	17:16	2.90	H
2021/09/19	Sun	23:23	0.22	L
2021/09/20	Mon	05:36	3.12	H
2021/09/20	Mon	11:52	0.19	L
2021/09/20	Mon	17:59	3.02	H
2021/09/21	Tue	00:10	0.20	L
2021/09/21	Tue	06:16	3.06	H
2021/09/21	Tue	12:30	0.18	L
2021/09/21	Tue	18:38	3.09	H
2021/09/22	Wed	00:53	0.23	L
2021/09/22	Wed	06:54	2.96	H
2021/09/22	Wed	13:05	0.22	L
2021/09/22	Wed	19:15	3.12	H
2021/09/23	Thu	01:34	0.30	L
2021/09/23	Thu	07:29	2.83	H
2021/09/23	Thu	13:39	0.29	L
2021/09/23	Thu	19:50	3.11	H
2021/09/24	Fri	02:14	0.40	L
2021/09/24	Fri	08:05	2.68	H
2021/09/24	Fri	14:12	0.40	L
2021/09/24	Fri	20:26	3.06	H
2021/09/25	Sat	02:54	0.52	L
2021/09/25	Sat	08:41	2.53	H
2021/09/25	Sat	14:47	0.52	L
2021/09/25	Sat	21:03	2.97	H
2021/09/26	Sun	03:35	0.64	L
2021/09/26	Sun	09:19	2.38	H
2021/09/26	Sun	15:24	0.65	L
2021/09/26	Sun	21:43	2.86	H
2021/09/27	Mon	04:19	0.77	L
2021/09/27	Mon	10:01	2.25	H
2021/09/27	Mon	16:06	0.77	L
2021/09/27	Mon	22:28	2.75	H
2021/09/28	Tue	05:09	0.87	L
2021/09/28	Tue	10:50	2.16	H
2021/09/28	Tue	16:56	0.87	L
2021/09/28	Tue	23:19	2.66	H
2021/09/29	Wed	06:05	0.93	L
2021/09/29	Wed	11:46	2.11	H
2021/09/29	Wed	17:54	0.92	L
2021/09/30	Thu	00:17	2.61	H
2021/09/30	Thu	07:04	0.92	L
2021/09/30	Thu	12:49	2.13	H
2021/09/30	Thu	18:57	0.90	L
2021/10/01	Fri	01:19	2.62	H
2021/10/01	Fri	08:02	0.84	L
2021/10/01	Fri	13:53	2.23	H
2021/10/01	Fri	20:00	0.81	L
2021/10/02	Sat	02:19	2.70	H
2021/10/02	Sat	08:53	0.70	L
2021/10/02	Sat	14:51	2.41	H
2021/10/02	Sat	20:57	0.65	L
2021/10/03	Sun	03:13	2.81	H
2021/10/03	Sun	09:39	0.52	L
2021/10/03	Sun	15:42	2.63	H
2021/10/03	Sun	21:50	0.47	L
2021/10/04	Mon	04:02	2.93	H
2021/10/04	Mon	10:22	0.32	L
2021/10/04	Mon	16:29	2.88	H
2021/10/04	Mon	22:40	0.28	L
2021/10/05	Tue	04:47	3.03	H
2021/10/05	Tue	11:03	0.13	L
2021/10/05	Tue	17:13	3.14	H
2021/10/05	Tue	23:28	0.12	L
2021/10/06	Wed	05:31	3.09	H
2021/10/06	Wed	11:45	-0.03	L
2021/10/06	Wed	17:58	3.36	H
2021/10/07	Thu	00:17	0.01	L
2021/10/07	Thu	06:16	3.09	H
2021/10/07	Thu	12:28	-0.13	L
2021/10/07	Thu	18:43	3.52	H
2021/10/08	Fri	01:06	-0.04	L
2021/10/08	Fri	07:01	3.03	H
2021/10/08	Fri	13:12	-0.15	L
2021/10/08	Fri	19:29	3.60	H
2021/10/09	Sat	01:56	-0.01	L
2021/10/09	Sat	07:48	2.92	H
2021/10/09	Sat	13:58	-0.10	L
2021/10/09	Sat	20:18	3.58	H
2021/10/10	Sun	02:50	0.08	L
2021/10/10	Sun	08:38	2.77	H
2021/10/10	Sun	14:48	0.02	L
2021/10/10	Sun	21:10	3.48	H
2021/10/11	Mon	03:47	0.22	L
2021/10/11	Mon	09:33	2.61	H
2021/10/11	Mon	15:44	0.18	L
2021/10/11	Mon	22:07	3.32	H
2021/10/12	Tue	04:49	0.36	L
2021/10/12	Tue	10:34	2.47	H
2021/10/12	Tue	16:46	0.36	L
2021/10/12	Tue	23:11	3.14	H
2021/10/13	Wed	05:58	0.47	L
2021/10/13	Wed	11:46	2.38	H
2021/10/13	Wed	17:57	0.49	L
2021/10/14	Thu	00:23	2.99	H
2021/10/14	Thu	07:09	0.50	L
2021/10/14	Thu	13:06	2.40	H
2021/10/14	Thu	19:13	0.53	L
2021/10/15	Fri	01:39	2.91	H
2021/10/15	Fri	08:16	0.46	L
2021/10/15	Fri	14:21	2.50	H
2021/10/15	Fri	20:26	0.50	L
2021/10/16	Sat	02:46	2.89	H
2021/10/16	Sat	09:13	0.39	L
2021/10/16	Sat	15:22	2.66	H
2021/10/16	Sat	21:28	0.42	L
2021/10/17	Sun	03:43	2.89	H
2021/10/17	Sun	10:02	0.30	L
2021/10/17	Sun	16:13	2.83	H
2021/10/17	Sun	22:23	0.34	L
2021/10/18	Mon	04:31	2.87	H
2021/10/18	Mon	10:44	0.23	L
2021/10/18	Mon	16:57	2.96	H
2021/10/18	Mon	23:10	0.28	L

